"";"exercicio";"demonstrativo";"periodo";"periodicidade";"instituicao";"cod_ibge";"uf";"populacao";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor"
"1";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitasExcetoIntraOrcamentarias";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";2431446504236
"2";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitasExcetoIntraOrcamentarias";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";2431446504236
"3";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitasExcetoIntraOrcamentarias";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";396170612577,44
"4";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitasExcetoIntraOrcamentarias";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";16,29
"5";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitasExcetoIntraOrcamentarias";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";396170612585
"6";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitasExcetoIntraOrcamentarias";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";16,29
"7";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitasExcetoIntraOrcamentarias";"RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I)";2035275891651
"8";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitasCorrentes";"RECEITAS CORRENTES";1450150463796
"9";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitasCorrentes";"RECEITAS CORRENTES";1450150463796
"10";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitasCorrentes";"RECEITAS CORRENTES";257201141018,82
"11";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitasCorrentes";"RECEITAS CORRENTES";17,74
"12";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitasCorrentes";"RECEITAS CORRENTES";257201141026
"13";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitasCorrentes";"RECEITAS CORRENTES";17,74
"14";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitasCorrentes";"RECEITAS CORRENTES";1192949322770
"15";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"ReceitaTributaria";"RECEITA TRIBUTÁRIA";506229240505
"16";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"ReceitaTributaria";"RECEITA TRIBUTÁRIA";506229240505
"17";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"No Bimestre (b)";"ReceitaTributaria";"RECEITA TRIBUTÁRIA";88614459917,58
"18";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (b/a)";"ReceitaTributaria";"RECEITA TRIBUTÁRIA";17,5
"19";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"Até o Bimestre (c)";"ReceitaTributaria";"RECEITA TRIBUTÁRIA";88614459917
"20";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"% (c/a)";"ReceitaTributaria";"RECEITA TRIBUTÁRIA";17,5
"21";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"SALDO (a-c)";"ReceitaTributaria";"RECEITA TRIBUTÁRIA";417614780588
"22";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO INICIAL";"Impostos";"Impostos";498376793634
"23";2017;"RREO";1;"B";"Governo Federal";1;"BR";NA;"RREO-Anexo 01";NA;"PREVISÃO ATUALIZADA (a)";"Impostos";"Impostos";498376793634
